Date,Close,High,Low,Open,Volume
18-03-16,43941.85547,45670.71535604508,43131.45239658043,45022.39289830943,2856200
21-03-16,43797.78906,44518.14743523848,43149.46652703536,43941.86074,1312500
22-03-16,42717.25,44410.092116357504,42519.15145,43221.50084317032,1975500
23-03-16,44049.91406,44049.91406,42321.05398482216,42861.32275909649,1461100
24-03-16,43671.72656,44266.02222293815,43617.699684278356,43869.82511597939,1050900
28-03-16,42717.25,43761.76960370995,42609.196247892076,43581.68001686341,769900
29-03-16,43941.85547,44103.936083183915,42501.1389,42501.1389,1253600
30-03-16,45238.50391,45346.55765761843,43689.73346996915,44248.011185372714,1625600
31-03-16,47039.39844,47903.828424100306,46102.93262,46247.00428311638,3581900
01-04-16,46967.36328,47273.51557257717,46409.085573535755,47183.47078101035,1943900
04-04-16,47471.61719,48822.28914844936,46823.294646244314,46967.36632207891,1767400
05-04-16,47957.85547,48552.151086650396,47795.774845686254,47921.837552513614,1502100
06-04-16,48264.00781,49200.47363572761,48155.954063666046,48912.33030550373,1100700
07-04-16,48372.05859,49416.578101731204,47885.81675382772,48804.27356256981,1473500
08-04-16,47543.65234,48516.13614169034,46985.374607895355,48119.93903882576,1307800
11-04-16,47543.65234,47543.65234,47543.65234,47543.65234,0
12-04-16,48624.1875,48624.1875,47543.65,47561.65895833333,1296800
13-04-16,48624.1875,48624.1875,48624.1875,48624.1875,0
14-04-16,48624.1875,48624.1875,48624.1875,48624.1875,0
15-04-16,48624.1875,48624.1875,48624.1875,48624.1875,0
18-04-16,48624.1875,48624.1875,48624.1875,48624.1875,0
19-04-16,48624.1875,48624.1875,48624.1875,48624.1875,0
20-04-16,47435.59766,47903.830586797645,46967.36472570235,48209.98288754033,1217400
21-04-16,47183.46875,47561.656858301525,47111.43291984733,47435.59415553435,759800
22-04-16,48264.00781,48984.36614,47453.60469624533,47183.470324160444,4
25-04-16,48984.36328,49020.381195427384,47759.75419921875,47903.825855928306,1070100
26-04-16,49848.79688,49848.79688,48714.23249525831,48984.36687138728,956200
27-04-16,50569.15234,50587.16130113738,49848.79404825499,49848.79404825499,1541700
28-04-16,51541.64063,51865.80188679245,50785.26434748428,50785.26434748428,1354000
29-04-16,49884.8125,52081.90532490974,49848.794584837546,50425.08122743682,1590000
02-05-16,51577.64844,51577.64844,49182.45736131722,49920.82453517807,634800
03-05-16,49056.40234,50929.33400445117,48732.24109478249,50713.22651,1380200
04-05-16,48912.33594,49488.62266430412,48498.129852609534,49344.55098260309,1336400
09-05-16,48822.28516,49290.51806442503,48480.114954122095,48624.186618175954,1375200
10-05-16,51181.45703,51685.70783943965,48840.292564655174,48984.36422413793,1671400
11-05-16,51073.40234,51685.70688524771,50947.33964402988,51073.40234,544600
12-05-16,53162.44531,53162.44531,51775.75551268208,51865.80030487805,1410700
